area	text
M	这第一次我激动的时刻是在１９５５年
T	依公务员法第二十四条第十条第十一条及劳动基准法第八十四条之规定意旨
M	深圳过去取得的一切成就
T	雾峰乡公所函文草屯镇公所速解决乌溪畔临时垃圾场问题
T	并且用朴实沉厚的技法认真地创造出艺术上的形像
T	不可擅自在丛林间任意驰骋
T	算起来有将近一千年的收藏历史
M	对中国政府乃至中国领导人进行无端攻击
M	１３０多家服装研究所如雨后春笋
M	这场海湾战争使中东地区各国对美国的疑虑有增无减
T	郝院长在终点国父纪念馆发表感言
T	亦为其在亚运归来请辞主席职位获慰留后首次参与的国际体育事务
M	按月拿工资补贴岂不成了公开的贪污
T	大多数病人都在症候发生才觉察到疾病的存在
M	可这件小玩艺儿一加
T	视为都市产业振兴的重点工作
T	在他的生活中除了书就是古董收藏
M	他捡了块碎玻璃
M	为什么说改革也是一场革命呢
M	仅仅是为了排队买一张进入书市的门票
T	无往网不利的网路新时代已经来临
T	办起正事来是既冷静又果断
T	主办这次比赛可帮助词创社成长
T	而且在学校的时间不似教授那么久
M	一是两袋８３６棉花良种
M	眼里透出了幸福的泪花
M	用之于长远的改革顺利进行
T	必能训练学生的政治思考力
T	在他们不愿意的时候
T	部分纸厂会以库存空间有限为理由停收废纸或趁机多扣一些重量
T	豆娘则比较常出现在溪流上游的森林边缘
M	矿长向江总书记介绍矿里生产一线的工人技术人员
T	到尼加拉瓜莫三鼻克叙利亚赤道几内亚坦尚尼亚北韩阿尔及利亚乌干达寮国阿富汗狮子山国等等
T	海湾合作理事会秘书长比萨瑞指出
M	来到了我国著名的小商品的河流
T	既不能限制地方势力的抬头
M	超过了当时县政府规定的每户１２０平方米的限额
T	目前的工作是和各社团长沟通以便能提出一个大部份社团都能接受的方案
T	中午再前往加入游行队伍
M	他并不是和投资方共同开发技术
M	我小的时候和父母感情不好
M	许多辽宁人尚不知道悲哀
T	连续达十五年的战事
M	离开美国而谈论为建立世界新秩序作贡献仅是一句空话而已
M	我忽然想把他的这番话告诉他的父母
T	却遭县议会指摘校舍是超级大违建
T	他叫适之先生睡午觉也要那条单被答上点
M	其落后之处就是散倒散装
T	但碍于经费不足而无法实现
T	统一或者地名中国中华南洋等
T	顶多是皮肤过敏而发痒
M	四企业要继续在调整产品结构上下功夫
M	也是整个南部非洲地区动荡不宁的根源
M	如神经衰弱神经官能症恐惧症焦虑症多疑症等也有疗效
M	每户用地的最高限额是８０平方米
M	但这个说资金不落实
T	有公车自行车摩托车三轮车马达动力车等
M	他连续跑了三个乡镇
T	有一万五千元到两万元美金的预算
T	杨希台风已由轻度转为中度台风
T	当时的新科举人进士称考场主考官为老师
M	直至市城监三中队来调查时
M	法国同美国处理这一危机的立场并不完全一致
M	而沸沸扬扬的议论则更为炽烈了
M	引起了阿拉伯世界的广泛关注和深切忧虑
T	张丰绪计划从菲律宾返回后
T	后室是玄宫中最大的一室
T	说起这些课程对学员的影响
M	是我国目前最先进的洗衣机生产线之一
T	在社会上立足的角色会出现问题
T	由于公立大学财务自主已渐成趋势
T	有关方面应客观超然协调人选
M	还能把媳妇气跑了
M	治疗外伤性截瘫有新法
T	不是台湾或美国的商标法
M	几位省市负责人和其他迎候的人们
T	专收日据时代教育类旧书的城户康成
T	其排放出的冷却水与经过炉心的水是分离的
T	台塑六轻欲重返利泽工业区
T	撇开国际艺术拍卖公司设栈问题
T	慈济通识教育课程设计旨在扩展学生对知识的接触面
M	顾客从商店买回的东西遭到损坏
M	北京市民也有个承受力问题
T	由于查获吸食者人数骤增
M	眼前利益相长远利益相结合
T	在台湾的生活是尽情工作尽情作乐
T	以纾解水林乡历年来严重水荒
T	主要对象是己嫔和宫女
T	几乎都有三项标准乐观的答案
M	中国是一个有着１１亿人口的发展中国家
M	战士马少波刚到连队那阵
T	至于与爱死病患者相吻过
T	奈何提出建议都无下文
M	下周还将接待残病人专场
T	苏威宇与赛门五比七六比三七比五胜陈威儒蔡文程
T	晚餐后在海边举行惜别检讨会
M	对其产品能否定上市场变为商品却不甚关心
M	这几个月到这推销产品的外地厂家哪天都不下二三百人
M	他呼吁阿拉伯各国反对这一阴谋
M	早已成为各国认可的国际惯例
T	刘等三人于今年十月廿七日下午二时
M	复杂的南非问题才有希望获得解决
T	这些特征包括更好的毛皮品质和色泽
T	二后的神座雕凤头
T	原油价格今天下降了超过七十分
T	如果这种设备能便利住宿生并保障他们的安全
M	晚上睡在地下道里
T	以团队方式作业的企业所培训出的管理者
T	势必遇到民间工商企业家竞选的考验
T	宏碁将可藉此发展隐藏式控制器
M	并连任两届龙泉县政协常委
M	并且把统一后的德国栓在欧共体的车队里
T	并不像报纸所载是没没无闻的公司
M	多少也能赚回点钱吧
M	农民们已开始追求高档消费品
M	衣袋里装着各种药片
M	在贯彻落实环境保护的方针政策和法规上
M	公司饶总经理兴奋地说
M	用蚂蚁啃骨头的拼劲去攻克难关
M	不料楼梯口有两人把守
M	战士们连续战斗二三十个小时
T	显然已将战争的残酷本质掩盖
M	四川上百家的老企业采用计算机数显数控技术后
M	而且萨达姆候赛因最精锐的卫队也已经被全部消灭
T	台安医院将在九月五日上午举行反毒拒烟迷你马拉松慢跑活动
T	终致群魔乱舞的撒豆成兵后遗症罢了
M	２＋４会议的诞生和消失
M	我选手获尤尼克斯羽球赛女单前三名
T	警方每天查获的成效
M	爬向老太太卷起裤脚裸露在外的小腿一一想靠近火堆取暖
M	人们惊异地看着车前挂着的两张黄牌
T	七月二日三日的正式成所庆典学术讲演会及参观研究成果是一桩大喜事
M	收费站成了贪污的窝子
M	但我国的经济仍处于投入多产出少消耗高效益低的粗放型发展阶段
M	以色列总理沙米尔也公开宣布
M	深圳也初步显示出具有一定经济规模
M	反腐败斗争要牢牢把握几项原则
M	慰问信慰问电从祖国各地雪片似的飞到青海高原
T	但是每舒卷曝光一次
M	新预算的防务开支为３０３３亿美元
T	原因是波本威士忌只有美
T	经过一番角逐较劲之后
T	将于院内公众资料库中开放各界使用
M	找出它们之间恰当的结合方式
T	早在去年十二月旅日球员选秀会中
M	买咸菜的还不见少
T	他将在台大活动中心进行一场演讲
M	累计增产水果３２万多吨
T	挺举第一次举起一百五十公斤后
M	要根据他们各自的情况
M	尤其是群众已呼吁了四年仍充耳不闻
T	金融管理的组织与编制有配合调整的迫切需要
M	呈现的却是产品过剩状态
M	不知是否旧戏看得多了
T	自九月一日起该品牌化妆品将全面在盒套上加贴一个商标图样
M	是对人民群众进行社会主义思想教育的需要
M	造成了资金的过量沉淀
M	救援工作一分钟也没有迟疑
M	周围的群众没有一个说得上来
M	密特朗是在意大利总统访法前夕接受意大利电视台记者采访的
T	在有限的经费及人事与其他各国在韩所作推广活动频繁及花费大笔财力
M	在保护全球环境的事业中
M	沉睡在壁画上活跃在民间节日里的西藏民族体育
M	以及我们党在社会主义建设中积累的丰富经验
M	会在未来这场情报战中处于不利地位
M	挤到前面的刚在暗自庆幸
T	在训练期间暂时以餐厅为训练中心
M	控制到新的后备储量
M	南朝鲜人民的反美情绪高涨
M	从巍峨的石坝脚下乖乖地折向东北
M	我们看到不少来自四川江苏等地的妇女
M	在企业农村街道学校部队机关又各有适合自己特点的发扬民主的制度
T	于今年二月三日上午七时许
M	接受采访的袜厂职工直爽痛快
T	这叫平声仄读仄声平读
T	或因愚笨的差池造成恨事等
T	昨天被大会列为种子球员的国际著名网坛名将
M	便和矿工们聊开了
M	是北京航空航天大学学生敬献的花篮
T	一个团体获颁前场后场及团体三座薪传奖
T	造成对成绩的评定不够客观公平
T	全面调整各线行车班次
M	安政府与安盟之间的和谈是在葡萄牙政府的调解下于去年５月在里斯本开始的
T	我建议应该先在校园中由学生选出几个人选
T	尤其是近日来更有变本加厉的情形
T	并将回溯期由一年缩短为半年
M	一头扎进连绵的群山
M	还是使其廉洁的形象受到损害
M	李永波和田秉毅获亚军
M	这次发展个国家环境与发展部长级会议
M	今后日本对中国的市场将更为重视
T	但县府水利课深入调查结果解释说
M	有些版面才２０００多字
M	抱着试一试的心理向厂家写信求援
M	说这两家公司背后做了什么动作
T	台塑六轻此番再战宜兰反六轻力量
M	反对种族隔离和反对使用兴奋剂的坚定立场
T	是想多认识些同族的朋友
M	日本希望通过对世界新秩序形成作出贡献而成为政治大国
T	三位歌手以出嫁这首歌揭开序幕
T	任由民调机构藉势造势
T	除了刚好国家庆典特别多
M	而淡忘的又岂止是这一名称
M	我们开发了６０多个款式规格
T	可惜他们对善后的处理常是无能为力
M	长虹现象来自国营长虹机器厂的报道之一
M	集团军王军长在二连倾听战士们的反映
T	源起于娼妓问题严重的泰国
T	看做近世史学的第五大发现
M	１９８８年以来市电影公司将整理出的配合中学教学有关影片参照表发放到各县区教育局及全市各中学教务处
M	建一幢办公楼也不成问题
M	一群楼中的小公园
M	让人看了题目不知是怎么回事
T	财政部编制总员额调整将由原二百四十二人至三百二十五人
T	你真的是个好孩子
M	我们坐着汽艇登上了施工中的９号桥墩
T	仅以２０００张即跳空涨停
M	９０年代将实现再翻一番的目标
T	预计第四季即可有获利回馈
M	他们正以兴奋而激动的心情等待着
M	孙保所还是没有说出什么来
M	尤其是在国内采取了一系列松动措施
T	为美国历史最久的学术团体
M	现在进口的多是农业生产资料
T	椅身老旧且空间太小
M	河南省顾委副主任张赤侠代表省委省政府把一个素洁的花环置放在山头的纪念亭前
M	自民党为了缩小利案的影响
T	追不出来就告邮局是共犯
T	布希总统廿二日突然在波斯湾战事出现和平转机时
T	普雷开发出全世界第一部掌上型扫瞄器
M	趁年轻到地方找一个好位置
M	目的是为了在１９９３年１月１日欧共体统一大市场建成之日
T	在热胀冷缩的原理下
T	去年才以妈祖系列独霸晚间七点档的制作人罗文忠
M	奋战在多种经营战线的同志们更要振奋精神
M	市场疲软的主要方面是企业缺少资金
M	那里肯定会有开水供应的
M	领桃的人回到会议室继续听汇报
T	销售如首饰艺品滤水器儿童录音带等街坊便利商店不卖的东西
M	基本落实了１９９０年的生产任务
M	过度性复杂性和多变性
T	观光潜力雄厚的旅游市场
T	藏传法器和满族服饰
T	而除了该工业区十用地获得变更外
T	但黄国章应不致于为此遭人持枪狙击
M	荷兰和意大利等国认为
T	可能会考虑出张唱片
M	中国人民的伟大领袖毛泽东同志
M	中国近几年来大幅度减少进口是治理整顿的需要
M	老太太指着一个人说
M	但对民主德国部分要实行改造
T	左列各种公务员人事法令进用或管理人员
T	纯粹只当它是一项新鲜的游戏
T	另外目前竹东保龄球馆与中联社承租的工业区用地
T	不知道偷倒垃圾一事会祸及挖土机工人
T	近期反六轻积极人士在宜兰地区举办小型演讲宣传活动
M	由于近年来事态的迅速演变
M	整洁的站台修了花坛
T	证明该工人是受雇于镇公所
T	大多数地区仍处于农业社会的生活
T	偏偏许多人都有这种不良嗜好
T	当服务生问我要不要尝尝瑞士乳酪
T	据中华民国交通部观光局汉城事务所所长萧伯雄表示
T	当大盘于全面看涨的雀跃中
T	继第一阶段台湾方志自动化输入完成后
T	线型上出现一缩脚之后即跳空
M	维修人员白跑了一趟
M	造成居民消费结构极不合理
T	特举办此一意义非凡的比赛
T	我们可称之为农民美学
T	斗六市人及另外四名嫌犯
M	在场官兵的眼眶也湿润了
T	但基于地方派系主导而遭到极大阻力
T	对于究竟应以何方的时钟为准
M	自海湾战争于上月２８日结束以来
M	以签订技术开发合同的形式
T	中部将由原来的十四万人
M	屏幕上立即显示出记者本人的资料和尊容
M	强壮灵治疗小儿厌食有显著效果
T	而每年春节期间水泥的销售量只有七成
M	全体党员和各级干部必须继续发扬开荒牛的精神
T	我不认为进入工作职场后
T	明智的企业对金融资本与人力资本的理念大有差异
T	目前我们仍然没有很系统的方法来觉察这个疾病的发生
T	资深立委是依法行使职权
T	所以和全部公布并无差别
T	遂献计炀帝命李渊在二个月内建造一座晋阳宫以做行宫
T	一家进口服饰代理业者表示
M	但由于受宪法和日本广大国民反对等因素的制约
T	书画处选出三组各二十幅名品
M	于是大家都不理白线了
M	本报同仁一如既往支持他们的工作
T	并对部分政治人物仅著眼于权力
T	国科会已将这批研究成果整理编为工程科技生物科技自然科学三册
M	在场的省市负责同志聚精会神地聆听他老人家的谈话
T	是因当时气候及宫廷中的一些纷争
M	还规定在动工前到镇国土所和镇建委办理有关手续
M	牛皮车座上打着两块补丁也张着口
T	产能可以提高两到三倍
T	不上长城非好汉嘛
M	今后它也会使这种友谊更加巩固
M	她是不想让远在边疆的丈夫为她母女分心
M	小脸因激动而微微发红
M	就给他很少的零钱
T	才能应付因高速行驶产生的膨胀及高热
T	国际油价也跌至近期低点
M	荫庇过他们爷爷的爷爷
M	为自己上台执政做准备
M	听到的是一连串的赞扬
T	称赞球场旧九洞的风景实在宜人
T	另一射手蔡福财亦拿下十八分
T	柯尔将大部分的基础课程安排在上班时间内
T	有时又希望日子过得平静安祥
M	猛烈攻击了美国及其所有参战的盟国
T	学校从八十学年度指定学生必修的人生哲学
M	是全国先进党支部所在的车站
T	家庭消费型态渐呈两极化发展
M	讨论美国从南朝鲜撤走驻军和核武器问题
T	言谈间可以感受他掌风的威力
T	而令她不悦的种种情绪
M	冷轧薄板成为紧俏中的紧俏产品了
T	被发现的十四瓶爆裂物
M	这种认识显然是不正确的
M	苏宁感激战友的关怀
T	一般人都认为ＧＭＰ工厂一定要很大的投资
M	是为加强中苏睦邻友好而迈出的又一大步
M	一把抱住杨学宗
M	并办理了抵押公证和登记手续
T	该商标及所代表的商誉拱手让人
M	使顶端的小球膨胀
M	记者跟厂领导中层干部一般职工谈到这个问题
M	快把鲜花给妈妈呀
M	当两个效益发生矛盾的时候
T	工会如依法决议罢工
M	无论是美国提倡军备控制
M	这条穿过中国首都市中心的著名大街
M	李放就受到雷锋王铁人焦裕禄等英雄事迹的深刻教育
T	让资深主管成为他们的师父
M	这个问题已严峻地摆在了我们面前
T	据说过去在大家乐风靡时
M	他们做得太过分了
M	辟蹊径是要在市场开发上争个头彩
T	其实也蕴含了不同种族的交流激荡
T	会尽量将同一档案的资料记录在同一个磁柱上
M	她略呈倦意的脸上今天挂满了笑容
T	并将新书目录置于网路上
M	那些把本来属于自己职责范围的正常工作当成所谓创收手段
M	决不会屈服于美国的压力
T	它为实务经验丰富的资深管理者包括最高主管在内
T	再进一步在全国科技会议或类似大型科技会议中提出讨论
T	其间我们花了不少心血
M	改进一下垃圾车的工作作风和款式
T	此第三次投标却让首度入场厂商得标
T	不论团主许王先生本身的掌中技艺或后场乐师的阵容
T	添注一股强而有力的贡献
M	今朝晓得你们要来检查
T	昨天同意让德军空运德国萨克森省人民捐献的食品至苏联
T	固定基础浇置后（２）浮动基础浇置前中后（３）固定致动器之钢板安置等
T	普雷希望定位自己为宾士级的产品
M	在对市场作必要的了解之前
M	一名矿工大声地说
M	长江大堤的武昌八铺街东西湖围堤武惠堤古家头等险工险段
M	会议产生的政治和经济成果
M	一座座桥墩的翅膀都飞起来了
M	对于两岸是分离４０年之后
M	只要精细处理和充分利用已有的勘探资料
T	自然挑起公仆的潜在争取意识
M	期望它们了解在巴拿马发生的事是特殊情况
M	渤油公司内的各种议论已沸沸扬扬
T	这在人口统计上是正常的情形
